STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/1/15,20,30,13
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/2/15,30,34,26
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/3/15,24,30,20
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/4/15,34,47,30
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/5/15,32,40,10
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/6/15,11,13,7
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/7/15,14,19,7
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/8/15,6,17,-6
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/9/15,22,28,16
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/10/15,14,18,8
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/11/15,14,27,6
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/12/15,29,34,27
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/13/15,21,31,8
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/14/15,15,23,10
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/15/15,23,27,18
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/16/15,23,32,9
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/17/15,12,21,2
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/18/15,31,47,19
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/19/15,36,36,26
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/20/15,27,32,20
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/21/15,23,32,15
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/22/15,27,33,23
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/23/15,24,32,14
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/24/15,29,31,28
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/25/15,29,31,15
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/26/15,14,18,7
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/27/15,14,18,9
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/28/15,13,22,7
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/29/15,20,30,8
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/30/15,27,30,11
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",1/31/15,14,16,5
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/1/15,24,28,5
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/2/15,,16,7
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/3/15,11,18,0
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/4/15,29,34,9
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/5/15,26,34,4
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/6/15,7,16,0
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/7/15,18,24,13
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/8/15,20,25,10
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/9/15,11,14,10
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/10/15,20,30,13
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/11/15,18,22,9
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/12/15,18,28,9
USW00094746,"WORCESTER REGIONAL AIRPORT, MA US",2/13/15,9,16,0
